| Raza                           | Altura (cm) | Peso (kg) | Inteligencia (%) | Coste total (€) | Vida promedio (años) | Nº Enfermedades graves | Coste anual promedio (€) | Hogar                 | Trucos | Actividad física del dueño | Distrito                |
| Chihuahua | 13          | 2.5       | 17                | 19722            | 16.2                  | 2                       | 1198                     | Apartamento pequeño | No     | Frecuente                    | Chamartín              |
| Chihuahua | 13.5        | 2.2       | 15                | 19630            | 16.8                  | 1                       | 1192                     | Jardín Amplio       | Sí     | Nada                        | Puente de Vallecas     |
| Chihuahua | 13.2        | 2.1       | 16                | 19650            | 16.4                  | 2                       | 1195                     | Apartamento pequeño | No     | Poco frecuente               | Moratalaz             |
| Chihuahua | 13.3        | 2.3       | 15                | 19700            | 16.7                  | 1                       | 1190                     | Apartamento mediano | No     | Muy frecuente                | Latina                |
| Chihuahua | 12.8        | 2.4       | 17                | 19730            | 16.1                  | 2                       | 1199                     | Jardín Amplio       | Sí     | Frecuente                    | Usera                 |
| Chihuahua | 13.1        | 2.2       | 16                | 19680            | 16.5                  | 1                       | 1194                     | Finca               | Sí     | Poco frecuente               | Villa de Vallecas     |
| Chihuahua | 13.4        | 2.6       | 14                | 19740            | 16.0                  | 2                       | 1202                     | Apartamento pequeño | Sí     | Nada                        | Ciudad Lineal          |
| Chihuahua | 12.9        | 2.3       | 15                | 19690            | 16.6                  | 1                       | 1193                     | Jardín Amplio       | No     | Nada                        | Retiro                |
| Chihuahua | 13.6        | 2.7       | 14                | 19760            | 15.9                  | 2                       | 1205                     | Apartamento pequeño | Sí     | Muy frecuente                | Centro                |
| Chihuahua | 13.7        | 2.4       | 17                | 19780            | 15.8                  | 1                       | 1208                     | Jardín Amplio       | No     | Frecuente                    | Salamanca             |
| Springer Spaniel Inglés | 50          | 20        | 86                | 16389            | 12.54                 | 4                       | 1306                     | Jardín Amplio       | Sí     | Nada                        | Chamartín              |
| Springer Spaniel Inglés | 49.5        | 20.5      | 85                | 16400            | 12.53                 | 3                       | 1300                     | Apartamento mediano | No     | Frecuente                    | Puente de Vallecas     |
| Springer Spaniel Inglés | 50.2        | 19.8      | 87                | 16380            | 12.56                 | 4                       | 1305                     | Jardín Amplio       | Sí     | Poco frecuente               | Moratalaz             |
| Springer Spaniel Inglés | 50.4        | 20.2      | 86                | 16395            | 12.55                 | 3                       | 1303                     | Apartamento pequeño | No     | Muy frecuente                | Latina                |
| Springer Spaniel Inglés | 50.1        | 19.7      | 87                | 16375            | 12.57                 | 4                       | 1307                     | Jardín Amplio       | Sí     | Frecuente                    | Usera                 |
| Springer Spaniel Inglés | 50.6        | 20.8      | 85                | 16410            | 12.52                 | 3                       | 1299                     | Apartamento mediano | Sí     | Poco frecuente               | Villa de Vallecas     |
| Springer Spaniel Inglés | 50.3        | 20.4      | 86                | 16392            | 12.54                 | 4                       | 1304                     | Finca               | No     | Nada                        | Ciudad Lineal          |
