seccion_codigo;distrito_codigo;distrito_nombre;municipio_codigo;municipio_nombre;superficie_km2
101001;101;;1;ACEBEDA, LA;21.86
201001;201;;2;AJALVIR;12.81
201002;201;;2;AJALVIR;6.99
301001;301;;3;ALAMEDA DEL VALLE;25.70
401001;401;;4;ALAMO, EL;5.04
401002;401;;4;ALAMO, EL;12.71
401003;401;;4;ALAMO, EL;0.39
401004;401;;4;ALAMO, EL;3.86
501001;501;;5;ALCALA DE HENARES;0.18
501002;501;;5;ALCALA DE HENARES;0.09
501003;501;;5;ALCALA DE HENARES;0.20
501004;501;;5;ALCALA DE HENARES;0.03
501005;501;;5;ALCALA DE HENARES;0.25
501006;501;;5;ALCALA DE HENARES;0.12
501007;501;;5;ALCALA DE HENARES;0.03
501008;501;;5;ALCALA DE HENARES;0.01
501009;501;;5;ALCALA DE HENARES;0.01
501010;501;;5;ALCALA DE HENARES;0.10
501011;501;;5;ALCALA DE HENARES;0.07
501012;501;;5;ALCALA DE HENARES;0.11
501013;501;;5;ALCALA DE HENARES;0.03
501014;501;;5;ALCALA DE HENARES;0.06
501015;501;;5;ALCALA DE HENARES;0.07
501016;501;;5;ALCALA DE HENARES;0.12
501017;501;;5;ALCALA DE HENARES;0.03
501018;501;;5;ALCALA DE HENARES;0.04
501020;501;;5;ALCALA DE HENARES;0.07
501021;501;;5;ALCALA DE HENARES;0.04
501022;501;;5;ALCALA DE HENARES;0.04
501023;501;;5;ALCALA DE HENARES;0.05
501024;501;;5;ALCALA DE HENARES;0.03
502001;502;;5;ALCALA DE HENARES;0.03
502002;502;;5;ALCALA DE HENARES;0.03
502003;502;;5;ALCALA DE HENARES;0.02
502004;502;;5;ALCALA DE HENARES;0.03
502005;502;;5;ALCALA DE HENARES;0.02
502006;502;;5;ALCALA DE HENARES;0.04
502007;502;;5;ALCALA DE HENARES;0.05
502008;502;;5;ALCALA DE HENARES;5.53
502009;502;;5;ALCALA DE HENARES;0.03
502010;502;;5;ALCALA DE HENARES;0.03
502011;502;;5;ALCALA DE HENARES;0.09
502012;502;;5;ALCALA DE HENARES;0.07
502013;502;;5;ALCALA DE HENARES;0.06
502014;502;;5;ALCALA DE HENARES;0.07
502015;502;;5;ALCALA DE HENARES;0.03
502016;502;;5;ALCALA DE HENARES;0.02
502017;502;;5;ALCALA DE HENARES;0.03
502018;502;;5;ALCALA DE HENARES;0.04
502019;502;;5;ALCALA DE HENARES;0.08
502020;502;;5;ALCALA DE HENARES;0.04
502021;502;;5;ALCALA DE HENARES;0.06
502022;502;;5;ALCALA DE HENARES;0.01
502023;502;;5;ALCALA DE HENARES;0.02
502024;502;;5;ALCALA DE HENARES;0.03
502025;502;;5;ALCALA DE HENARES;0.03
502026;502;;5;ALCALA DE HENARES;0.04
502027;502;;5;ALCALA DE HENARES;8.66
502028;502;;5;ALCALA DE HENARES;0.13
502029;502;;5;ALCALA DE HENARES;0.19
502030;502;;5;ALCALA DE HENARES;0.01
502031;502;;5;ALCALA DE HENARES;0.16
502032;502;;5;ALCALA DE HENARES;0.03
502033;502;;5;ALCALA DE HENARES;0.02
502034;502;;5;ALCALA DE HENARES;0.03
502035;502;;5;ALCALA DE HENARES;0.02
502036;502;;5;ALCALA DE HENARES;0.36
502037;502;;5;ALCALA DE HENARES;0.07
503001;503;;5;ALCALA DE HENARES;0.03
503002;503;;5;ALCALA DE HENARES;0.02
503003;503;;5;ALCALA DE HENARES;0.02
503004;503;;5;ALCALA DE HENARES;0.10
503005;503;;5;ALCALA DE HENARES;0.02
503006;503;;5;ALCALA DE HENARES;0.17
503007;503;;5;ALCALA DE HENARES;8.82
503008;503;;5;ALCALA DE HENARES;0.03
503009;503;;5;ALCALA DE HENARES;0.05
503011;503;;5;ALCALA DE HENARES;0.11
503012;503;;5;ALCALA DE HENARES;0.08
503013;503;;5;ALCALA DE HENARES;7.30
503014;503;;5;ALCALA DE HENARES;9.83
503015;503;;5;ALCALA DE HENARES;0.28
503016;503;;5;ALCALA DE HENARES;0.20
503017;503;;5;ALCALA DE HENARES;0.82
504001;504;;5;ALCALA DE HENARES;8.89
504002;504;;5;ALCALA DE HENARES;0.17
