,Dog breed,lifetime_cost,intellingence_ranking,longevity,size_category,weight_kg,shoulder_height_cm,intelligence_category,obey_first_command_%_of_time,genetic_diseases,house_type,owners_physical_activity,tricks,Distrito,Renta media/pers (€),Áreas caninas (m²)
0,Brittany,22.838351546919636,77.85526858142278,12.647220100456769,medium,15.394643639317687,47.56713711162631,Excellent,>85,none,Finca,Muy frecuente,no,Chamberí,25275.0,826.0
1,Brittany,20.69316161008594,83.10887579407867,13.538873172022967,medium,15.790379865268287,46.659156849421684,Excellent,<30,none,Apartamento mediano,Nada,no,Arganzuela,20103.0,1764.0
2,Brittany,24.84678772632729,81.35035036712806,12.461697647792475,medium,16.01566385906401,48.81060013380988,Excellent,>50,none,Jardín Amplio,Nada,no,Arganzuela,20103.0,1764.0
3,Brittany,23.121673195725897,75.73214477597121,13.045005952137483,small,16.845484815527644,51.33787241895888,Excellent,>95,none,Apartamento pequeño,Nada,no,Moncloa-Aravaca,24659.0,2606.0
4,Brittany,22.225059875888306,82.61505832644741,13.201629040637078,small,15.206893151895281,45.970123460937614,Excellent,>95,none,Apartamento pequeño,Muy frecuente,yes,Arganzuela,20103.0,1764.0
5,Brittany,22.058827951354182,79.6028233716635,13.03971924815756,medium,15.450978893137771,48.18418402384959,Excellent,>50,none,Apartamento mediano,Poco frecuente,no,Ciudad Lineal,16890.0,614.0
6,Brittany,23.24522750350496,80.63222128501641,12.41021087687688,small,15.05267880009412,49.465265005754276,Above average,>70,none,Apartamento pequeño,Poco frecuente,no,Salamanca,25956.0,623.0
7,Brittany,22.73840817940298,81.59340830349129,12.495415201841512,medium,16.157418068440727,45.38811636351009,Excellent,>50,none,Apartamento mediano,Frecuente,no,Moncloa-Aravaca,24659.0,2606.0
8,Brittany,22.279701265126157,76.23766550079735,13.052169422343521,small,15.635399371124446,47.58677552183817,Excellent,>50,none,Apartamento pequeño,Muy frecuente,no,Salamanca,25956.0,623.0
9,Brittany,23.35343393919882,77.7503036525441,12.824743289672366,medium,15.736687215456579,48.93499244867175,Excellent,>95,none,Jardín Amplio,Nada,no,Chamberí,25275.0,826.0
10,Brittany,22.268844615129368,74.38377731671763,12.26896532438669,medium,17.395441619476983,44.28148614723752,Above average,>85,none,Jardín Amplio,Poco frecuente,no,Fuencarral-El Pardo,20671.0,1852.0
11,Brittany,22.982920642938257,82.64711741167304,13.133996309631474,medium,16.816445729256877,48.884005530004316,Excellent,>30,none,Apartamento mediano,Poco frecuente,yes,Centro,19199.0,326.0
12,Brittany,23.300798415872503,83.41824881367698,12.58671948938741,medium,16.2135643346223,47.46287148927208,Excellent,>85,none,Finca,Poco frecuente,no,Moncloa-Aravaca,24659.0,2606.0
13,Brittany,22.05977740556626,81.66910190435557,12.55042680604222,medium,16.076721611402117,50.71072843739246,Excellent,>85,none,Apartamento mediano,Poco frecuente,yes,Centro,19199.0,326.0
14,Brittany,22.507816854694035,78.8692845323813,12.848921945117535,small,15.67279933609652,50.95856299752913,Above average,>50,none,Apartamento pequeño,Poco frecuente,yes,Salamanca,25956.0,623.0
15,Brittany,23.51272630337418,86.2328756153267,13.02439045486725,medium,15.890535681601765,47.8300471328811,Excellent,>95,none,Jardín Amplio,Muy frecuente,no,Moncloa-Aravaca,24659.0,2606.0
16,Brittany,22.818168704689914,80.60933485970119,12.993378834474612,large,15.111002981928488,45.815662141892304,Excellent,>85,none,Apartamento mediano,Nada,no,Centro,19199.0,326.0
17,Brittany,22.44792696137924,79.35299387392318,11.651285699248584,medium,16.166862698918678,47.97880787257665,Excellent,>95,none,Finca,Muy frecuente,yes,Chamberí,25275.0,826.0
18,Brittany,22.78066597525666,80.7345545438371,13.018341655124809,medium,16.039457688921598,48.47930920696581,Above average,>50,none,Finca,Poco frecuente,no,Arganzuela,20103.0,1764.0
19,Brittany,22.01044552517683,83.56470238289089,13.042752993390446,medium,16.192862329978606,49.2498732486782,Excellent,>85,none,Apartamento mediano,Nada,no,Ciudad Lineal,16890.0,614.0
20,Brittany,22.274182799974678,79.37085253387255,12.749258028414568,medium,16.95593732541211,47.31874486054263,Excellent,<30,none,Apartamento mediano,Muy frecuente,no,Moncloa-Aravaca,24659.0,2606.0
21,Brittany,23.363214830698258,82.58716757820076,12.802736305550416,medium,17.054705367972424,49.39686770293645,Excellent,>30,none,Finca,Nada,yes,Moncloa-Aravaca,24659.0,2606.0
22,Brittany,23.236454635544415,81.65438670185041,12.472421351609295,medium,14.696795825930398,46.26681869344549,Excellent,<30,none,Apartamento pequeño,Poco frecuente,no,Fuencarral-El Pardo,20671.0,1852.0
23,Brittany,22.640973066490236,82.00614047082175,13.443086598850925,medium,15.346643822797208,49.12529788572507,Excellent,>70,none,Apartamento mediano,Muy frecuente,no,Moncloa-Aravaca,24659.0,2606.0
24,Brittany,22.854403627037833,80.67814883396716,12.807272058449207,medium,15.938840483943942,48.16864313406238,Average,>85,none,Jardín Amplio,Muy frecuente,no,Moncloa-Aravaca,24659.0,2606.0
25,Brittany,21.141997715595444,79.37169389656204,13.629030152897744,medium,16.37116903373769,50.787858841506186,Excellent,>50,none,Finca,Poco frecuente,yes,Ciudad Lineal,16890.0,614.0
26,Brittany,22.257183378659523,80.38971233580646,12.695794401103537,medium,15.277972406009713,47.17317434768832,Excellent,>85,none,Apartamento mediano,Muy frecuente,yes,Chamberí,25275.0,826.0
27,Brittany,22.58507472171772,74.75585559157781,13.151631035213383,medium,15.864004499946136,50.78601563564535,Excellent,>70,none,Apartamento mediano,Muy frecuente,no,Chamberí,25275.0,826.0
