Raza,Altura (cm),Peso (kg),Inteligencia (%),Coste total (€),Vida promedio (años),Nº Enfermedades graves,Coste anual promedio (€),Hogar,Trucos,Actividad física del dueño,Distrito
Chihuahua,13.0,2.5,16.0,19722,16.2,2,1198,Apartamento pequeño,No,Frecuente,Carabanchel
Chihuahua,13.5,2.2,16.0,19630,16.8,1,1192,Jardín Amplio,No,Nada,Salamanca
Chihuahua,13.2,2.1,16.0,19650,16.4,2,1195,Apartamento pequeño,No,Poco frecuente,Salamanca
Chihuahua,13.3,2.3,16.0,19700,16.7,1,1190,Apartamento mediano,No,Muy frecuente,Chamartín
Chihuahua,12.8,2.4,16.0,19730,16.1,2,1199,Jardín Amplio,Sí,Frecuente,Puente de Vallecas
Chihuahua,13.1,2.2,16.0,19680,16.5,1,1194,Finca,Sí,Poco frecuente,Villa de Vallecas
Chihuahua,13.4,2.6,16.0,19740,16.0,2,1202,Apartamento pequeño,Sí,Nada,Salamanca
Chihuahua,12.9,2.3,16.0,19690,16.6,1,1193,Jardín Amplio,No,Nada,Puente de Vallecas
Chihuahua,13.6,2.7,16.0,19760,15.9,2,1205,Apartamento pequeño,No,Muy frecuente,Villaverde
Chihuahua,13.7,2.4,16.0,19780,15.8,1,1208,Jardín Amplio,No,Frecuente,Ciudad Lineal
Springer Spaniel Inglés,50.0,20.0,86.0,16389,12.54,4,1306,Jardín Amplio,Sí,Nada,Fuencarral-El Pardo
Springer Spaniel Inglés,49.5,20.5,86.0,16400,12.53,3,1300,Apartamento mediano,No,Frecuente,Ciudad Lineal
Springer Spaniel Inglés,50.2,19.8,86.0,16380,12.56,4,1305,Jardín Amplio,Sí,Poco frecuente,Usera
Springer Spaniel Inglés,50.4,20.2,86.0,16395,12.55,3,1303,Apartamento pequeño,No,Muy frecuente,Villaverde
Springer Spaniel Inglés,50.1,19.7,86.0,16375,12.57,4,1307,Jardín Amplio,Sí,Frecuente,Villa de Vallecas
Springer Spaniel Inglés,50.6,20.8,86.0,16410,12.52,3,1299,Apartamento mediano,Sí,Poco frecuente,Salamanca
Springer Spaniel Inglés,50.3,20.4,86.0,16392,12.54,4,1304,Finca,No,Nada,Latina
Springer Spaniel Inglés,49.8,20.9,86.0,16368,12.58,3,1308,Jardín Amplio,No,Nada,Chamartín
Springer Spaniel Inglés,50.9,19.5,86.0,16420,12.51,4,1298,Apartamento pequeño,Sí,Muy frecuente,Arganzuela
Springer Spaniel Inglés,50.7,20.6,86.0,16405,12.53,3,1301,Jardín Amplio,No,Frecuente,Moratalaz
Caniche,41.0,25.0,99.0,15898,11.95,2,1330,Jardín Amplio,Sí,Nada,Villa de Vallecas
Caniche,40.5,25.5,99.0,15910,11.94,1,1328,Apartamento mediano,No,Frecuente,Latina
Caniche,41.2,24.8,99.0,15890,11.97,2,1331,Jardín Amplio,Sí,Poco frecuente,Hortaleza
Caniche,41.4,25.2,99.0,15905,11.96,1,1329,Apartamento pequeño,No,Muy frecuente,Fuencarral-El Pardo
Caniche,41.1,24.7,99.0,15885,11.98,2,1332,Jardín Amplio,Sí,Frecuente,Usera
Caniche,41.6,25.8,99.0,15920,11.93,1,1327,Apartamento mediano,Sí,Poco frecuente,Villa de Vallecas
Caniche,41.3,25.4,99.0,15902,11.95,2,1333,Finca,No,Nada,Centro
Caniche,40.8,25.9,99.0,15878,11.99,1,1334,Jardín Amplio,No,Nada,Puente de Vallecas
Caniche,41.9,24.5,99.0,15930,11.92,2,1326,Apartamento pequeño,Sí,Muy frecuente,Carabanchel
Caniche,41.7,25.6,99.0,15915,11.94,1,1335,Jardín Amplio,No,Frecuente,Latina
Braco Alemán de pelo corto,61.0,28.0,84.0,18032,11.46,1,1573,Jardín Amplio,Sí,Nada,Hortaleza
Braco Alemán de pelo corto,60.5,28.5,84.0,18045,11.45,2,1569,Apartamento mediano,No,Frecuente,Hortaleza
Braco Alemán de pelo corto,61.2,27.8,84.0,18025,11.48,1,1574,Jardín Amplio,Sí,Poco frecuente,Latina
Braco Alemán de pelo corto,61.4,28.2,84.0,18040,11.47,2,1572,Apartamento pequeño,No,Muy frecuente,Carabanchel
Braco Alemán de pelo corto,61.1,27.7,84.0,18020,11.49,1,1575,Jardín Amplio,Sí,Frecuente,Ciudad Lineal
Braco Alemán de pelo corto,61.6,28.8,84.0,18055,11.44,2,1568,Apartamento mediano,Sí,Poco frecuente,Vicálvaro
Braco Alemán de pelo corto,61.3,28.4,84.0,18032,11.46,1,1573,Finca,No,Nada,Retiro
Braco Alemán de pelo corto,60.8,28.9,84.0,18008,11.5,2,1577,Jardín Amplio,No,Nada,Hortaleza
Braco Alemán de pelo corto,61.9,27.5,84.0,18065,11.43,1,1567,Apartamento pequeño,Sí,Muy frecuente,Villaverde
Braco Alemán de pelo corto,61.7,28.6,84.0,18050,11.45,2,1570,Jardín Amplio,No,Frecuente,Puente de Vallecas
Labrador Retriever,58.0,31.0,93.0,15933,12.04,3,1323,Jardín Amplio,Sí,Nada,Arganzuela
Labrador Retriever,57.5,31.5,93.0,15945,12.03,4,1319,Apartamento mediano,No,Frecuente,Chamberí
Labrador Retriever,58.2,30.8,93.0,15925,12.06,3,1324,Jardín Amplio,Sí,Poco frecuente,Usera
Labrador Retriever,58.4,31.2,93.0,15940,12.05,4,1322,Apartamento pequeño,No,Muy frecuente,Fuencarral-El Pardo
Labrador Retriever,58.1,30.7,93.0,15920,12.07,3,1325,Jardín Amplio,Sí,Frecuente,Latina
Labrador Retriever,58.6,31.8,93.0,15955,12.02,4,1318,Apartamento mediano,Sí,Poco frecuente,Centro
Labrador Retriever,58.3,31.4,93.0,15932,12.04,3,1323,Finca,No,Nada,Moratalaz
Labrador Retriever,57.8,31.9,93.0,15908,12.08,4,1327,Jardín Amplio,No,Nada,Puente de Vallecas
Labrador Retriever,58.9,30.5,93.0,15965,12.01,3,1317,Apartamento pequeño,Sí,Muy frecuente,Tetuán
Labrador Retriever,58.7,31.6,93.0,15950,12.03,4,1320,Jardín Amplio,No,Frecuente,Fuencarral-El Pardo
Bichón Maltés,23.0,2.0,25.0,13901,12.25,1,1134,Jardín Amplio,No,Nada,San Blas-Canillejas
Bichón Maltés,22.5,2.5,25.0,13910,12.24,2,1130,Apartamento pequeño,No,Frecuente,San Blas-Canillejas
Bichón Maltés,23.2,1.8,25.0,13890,12.27,1,1135,Jardín Amplio,No,Poco frecuente,Tetuán
Bichón Maltés,23.4,2.2,25.0,13905,12.26,2,1133,Apartamento mediano,No,Muy frecuente,Chamartín
Bichón Maltés,23.1,1.7,25.0,13885,12.28,1,1136,Jardín Amplio,No,Frecuente,Puente de Vallecas
Bichón Maltés,23.6,2.8,25.0,13920,12.23,2,1129,Apartamento mediano,Sí,Poco frecuente,Puente de Vallecas
Bichón Maltés,23.3,2.4,25.0,13897,12.25,1,1134,Finca,No,Nada,Chamberí
Bichón Maltés,22.8,2.9,25.0,13873,12.29,2,1138,Jardín Amplio,No,Nada,Centro
Bichón Maltés,23.9,1.5,25.0,13930,12.22,1,1128,Apartamento pequeño,No,Muy frecuente,Carabanchel
Bichón Maltés,23.7,2.6,25.0,13915,12.24,2,1131,Jardín Amplio,No,Frecuente,Moncloa-Aravaca
Pomerania,24.0,2.0,77.0,11829,9.67,1,1223,Apartamento pequeño,No,Nada,Vicálvaro
Pomerania,23.5,2.5,77.0,11840,9.66,2,1219,Jardín Amplio,No,Frecuente,San Blas-Canillejas
Pomerania,24.2,1.8,77.0,11820,9.69,1,1224,Apartamento pequeño,No,Poco frecuente,Puente de Vallecas
Pomerania,24.4,2.2,77.0,11835,9.68,2,1222,Jardín Amplio,No,Muy frecuente,Tetuán
Pomerania,24.1,1.7,77.0,11815,9.7,1,1225,Apartamento mediano,Sí,Poco frecuente,Carabanchel
Pomerania,24.6,2.8,77.0,11850,9.65,2,1218,Jardín Amplio,No,Nada,Moncloa-Aravaca
Pomerania,24.3,2.4,77.0,11827,9.67,1,1223,Finca,No,Nada,Moncloa-Aravaca
Pomerania,23.8,2.9,77.0,11803,9.71,2,1227,Jardín Amplio,No,Muy frecuente,Centro
Pomerania,24.9,1.5,77.0,11860,9.64,1,1217,Apartamento pequeño,Sí,Frecuente,Latina
Pomerania,24.7,2.6,77.0,11845,9.66,2,1220,Jardín Amplio,No,Poco frecuente,Moratalaz
Golden Retriever,58.0,27.0,97.0,16062,12.04,4,1334,Jardín Amplio,Sí,Nada,Retiro
Golden Retriever,57.5,27.5,97.0,16075,12.03,3,1330,Apartamento mediano,No,Frecuente,Carabanchel
Golden Retriever,58.2,26.8,97.0,16055,12.06,4,1335,Jardín Amplio,Sí,Poco frecuente,Moncloa-Aravaca
Golden Retriever,58.4,27.2,97.0,16070,12.05,3,1333,Apartamento pequeño,No,Muy frecuente,San Blas-Canillejas
Golden Retriever,58.1,26.7,97.0,16050,12.07,4,1336,Jardín Amplio,Sí,Frecuente,Puente de Vallecas
Golden Retriever,58.6,27.8,97.0,16085,12.02,3,1329,Apartamento mediano,Sí,Poco frecuente,Chamartín
Golden Retriever,58.3,27.4,97.0,16062,12.04,4,1334,Finca,No,Nada,Latina
Golden Retriever,57.8,27.9,97.0,16038,12.08,3,1338,Jardín Amplio,No,Nada,Chamberí
Golden Retriever,58.9,26.5,97.0,16095,12.01,4,1328,Apartamento pequeño,Sí,Muy frecuente,Chamberí
Golden Retriever,58.7,27.6,97.0,16080,12.03,3,1331,Jardín Amplio,No,Frecuente,Vicálvaro
Beagle,36.0,12.0,9.0,14510,12.3,1,1179,Jardín Amplio,No,Nada,Hortaleza
Beagle,35.5,12.5,9.0,14520,12.29,2,1175,Apartamento mediano,No,Frecuente,Centro
Beagle,36.2,11.8,9.0,14500,12.32,1,1180,Jardín Amplio,No,Poco frecuente,Tetuán
