Dog breed,lifetime_cost,intellingence_ranking,longevity,weight_kg,shoulder_height_cm,obey_first_command_%_of_time,Renta media/pers (€),Áreas caninas (m²),n_genetic_diseases,tricks_yes,size_category_enc,intelligence_category_enc,house_type_enc,owners_physical_activity_enc
Brittany,22838.35154691964,77.85526858142278,12.647220100456767,15.394643639317689,47.56713711162631,85,25275.0,826.0,0,0.0,1.0,4.0,3.0,3.0
Brittany,20693.16161008594,83.10887579407867,13.538873172022967,15.790379865268289,46.65915684942168,30,20103.0,1764.0,0,0.0,1.0,4.0,1.0,0.0
Brittany,24846.78772632729,81.35035036712806,12.461697647792477,16.01566385906401,48.81060013380988,50,20103.0,1764.0,0,0.0,1.0,4.0,2.0,0.0
Brittany,23121.673195725896,75.73214477597121,13.045005952137483,16.845484815527644,51.33787241895888,95,24659.0,2606.0,0,0.0,0.0,4.0,0.0,0.0
Brittany,22225.059875888302,82.61505832644741,13.201629040637078,15.20689315189528,45.970123460937614,95,20103.0,1764.0,0,1.0,0.0,4.0,0.0,3.0
Brittany,22058.827951354186,79.6028233716635,13.03971924815756,15.450978893137773,48.18418402384959,50,16890.0,614.0,0,0.0,1.0,4.0,1.0,1.0
Brittany,23245.22750350496,80.63222128501641,12.41021087687688,15.05267880009412,49.46526500575428,70,25956.0,623.0,0,0.0,0.0,3.0,0.0,1.0
Brittany,22738.40817940298,81.59340830349129,12.495415201841512,16.157418068440727,45.38811636351009,50,24659.0,2606.0,0,0.0,1.0,4.0,1.0,2.0
Brittany,22279.70126512616,76.23766550079735,13.05216942234352,15.635399371124446,47.58677552183817,50,25956.0,623.0,0,0.0,0.0,4.0,0.0,3.0
Brittany,23353.433939198818,77.7503036525441,12.824743289672366,15.73668721545658,48.93499244867175,95,25275.0,826.0,0,0.0,1.0,4.0,2.0,0.0
Brittany,22268.84461512937,74.38377731671763,12.26896532438669,17.395441619476983,44.28148614723752,85,20671.0,1852.0,0,0.0,1.0,3.0,2.0,1.0
Brittany,22982.920642938258,82.64711741167304,13.133996309631474,16.816445729256877,48.88400553000432,30,19199.0,326.0,0,1.0,1.0,4.0,1.0,1.0
Brittany,23300.7984158725,83.41824881367698,12.58671948938741,16.2135643346223,47.46287148927208,85,24659.0,2606.0,0,0.0,1.0,4.0,3.0,1.0
Brittany,22059.77740556626,81.66910190435557,12.55042680604222,16.076721611402117,50.71072843739246,85,19199.0,326.0,0,1.0,1.0,4.0,1.0,1.0
Brittany,22507.816854694036,78.8692845323813,12.848921945117535,15.67279933609652,50.95856299752913,50,25956.0,623.0,0,1.0,0.0,3.0,0.0,1.0
Brittany,23512.72630337418,86.2328756153267,13.02439045486725,15.890535681601763,47.8300471328811,95,24659.0,2606.0,0,0.0,1.0,4.0,2.0,3.0
Brittany,22818.168704689917,80.60933485970119,12.993378834474612,15.111002981928488,45.815662141892304,85,19199.0,326.0,0,0.0,2.0,4.0,1.0,0.0
Brittany,22447.92696137924,79.35299387392318,11.651285699248584,16.166862698918678,47.97880787257665,95,25275.0,826.0,0,1.0,1.0,4.0,3.0,3.0
Brittany,22780.66597525666,80.7345545438371,13.018341655124807,16.039457688921598,48.47930920696581,50,20103.0,1764.0,0,0.0,1.0,3.0,3.0,1.0
Brittany,22010.44552517683,83.56470238289089,13.042752993390446,16.192862329978606,49.2498732486782,85,16890.0,614.0,0,0.0,1.0,4.0,1.0,0.0
Brittany,22274.182799974682,79.37085253387255,12.749258028414568,16.95593732541211,47.31874486054263,30,24659.0,2606.0,0,0.0,1.0,4.0,1.0,3.0
Brittany,23363.214830698253,82.58716757820076,12.802736305550416,17.054705367972424,49.39686770293645,30,24659.0,2606.0,0,1.0,1.0,4.0,3.0,0.0
Brittany,23236.45463554441,81.65438670185041,12.472421351609295,14.696795825930398,46.26681869344549,30,20671.0,1852.0,0,0.0,1.0,4.0,0.0,1.0
Brittany,22640.973066490238,82.00614047082175,13.443086598850924,15.346643822797208,49.12529788572507,70,24659.0,2606.0,0,0.0,1.0,4.0,1.0,3.0
Brittany,22854.403627037835,80.67814883396716,12.807272058449207,15.938840483943942,48.16864313406238,85,24659.0,2606.0,0,0.0,1.0,2.0,2.0,3.0
Brittany,21141.997715595444,79.37169389656204,13.629030152897744,16.37116903373769,50.787858841506186,50,16890.0,614.0,0,1.0,1.0,4.0,3.0,1.0
Brittany,22257.183378659523,80.38971233580646,12.695794401103536,15.277972406009711,47.17317434768832,85,25275.0,826.0,0,1.0,1.0,4.0,1.0,3.0
