seccion;Nombre;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Población
2800101001;Acebeda. La;0;0;0;0
2800201001;Ajalvir;38.0;21.3;10.8;1875
2800201002;Ajalvir;37.1;22.3;9.9;2358
2800301001;Alameda del Valle;50.7;11.2;27.4;197
2800401001;Álamo. El;39.7;21.2;14.8;2459
2800401003;Álamo. El;36.4;26.3;11.7;1964
2800401004;Álamo. El;39.1;23.1;12.7;1414
2800401002;Álamo. El;39.5;21.8;15.0;3036
2800501006;Alcalá de Henares;45.2;15.6;22.5;1260
2800501011;Alcalá de Henares;47.4;13.7;28.3;1391
2800501003;Alcalá de Henares;42.0;13.8;16.1;1750
2800501012;Alcalá de Henares;43.6;14.9;20.3;1919
2800501014;Alcalá de Henares;47.1;11.7;26.2;1252
2800501017;Alcalá de Henares;46.3;12.1;25.1;985
2800501016;Alcalá de Henares;42.9;12.9;18.7;1172
2800501018;Alcalá de Henares;42.8;16.2;18.7;1225
2800501022;Alcalá de Henares;45.6;13.9;24.1;1819
2800501024;Alcalá de Henares;48.2;12.9;30.5;1352
2800501001;Alcalá de Henares;42.7;13.9;18.0;1642
2800501005;Alcalá de Henares;44.1;12.4;19.0;1234
2800501010;Alcalá de Henares;43.6;15.5;18.7;939
2800501020;Alcalá de Henares;43.6;14.1;20.6;1648
2800501021;Alcalá de Henares;50.4;8.8;31.5;1427
2800501007;Alcalá de Henares;48.0;12.0;29.6;1229
2800501009;Alcalá de Henares;46.9;11.6;26.8;1099
2800501013;Alcalá de Henares;44.7;14.7;23.4;940
2800501023;Alcalá de Henares;46.2;13.0;25.4;1282
2800501004;Alcalá de Henares;48.5;12.6;30.7;1301
2800501015;Alcalá de Henares;43.7;13.5;18.9;2267
2800501002;Alcalá de Henares;41.1;16.2;16.4;981
2800501008;Alcalá de Henares;49.5;12.1;36.0;792
2800503014;Alcalá de Henares;39.5;15.9;11.4;2923
2800503005;Alcalá de Henares;42.0;16.8;19.7;1068
2800503008;Alcalá de Henares;41.1;17.6;15.5;1255
2800503012;Alcalá de Henares;42.1;15.7;15.7;1391
2800503016;Alcalá de Henares;34.7;29.1;5.8;2292
2800503002;Alcalá de Henares;44.8;16.2;27.6;1229
2800503004;Alcalá de Henares;43.4;17.8;20.1;1474
2800503007;Alcalá de Henares;42.9;16.2;16.7;2225
2800503015;Alcalá de Henares;34.6;29.5;6.4;2304
2800503003;Alcalá de Henares;43.2;16.0;20.0;1311
2800503006;Alcalá de Henares;43.6;15.0;22.0;1599
2800503017;Alcalá de Henares;33.0;32.1;5.2;2167
2800503001;Alcalá de Henares;41.4;16.0;14.5;1611
2800503009;Alcalá de Henares;44.4;15.0;22.2;1476
2800503011;Alcalá de Henares;46.4;13.1;26.1;1476
2800503013;Alcalá de Henares;32.4;31.7;3.9;1610
2800504007;Alcalá de Henares;34.6;29.1;6.8;2614
2800504015;Alcalá de Henares;34.9;25.2;7.6;1184
2800504016;Alcalá de Henares;36.9;26.5;7.6;1558
2800504009;Alcalá de Henares;34.2;29.9;4.9;2157
2800504010;Alcalá de Henares;35.3;27.1;6.4;2427
2800504005;Alcalá de Henares;34.6;30.0;5.9;1862
2800504006;Alcalá de Henares;34.6;30.8;5.1;2059
2800504012;Alcalá de Henares;34.0;27.8;5.6;1788
2800504014;Alcalá de Henares;35.5;26.0;5.0;1918
2800504002;Alcalá de Henares;38.9;22.0;10.4;1573
2800504001;Alcalá de Henares;34.4;25.1;7.2;2843
2800504004;Alcalá de Henares;38.4;21.4;7.1;1339
2800504011;Alcalá de Henares;34.4;30.6;6.2;2468
2800504003;Alcalá de Henares;38.9;20.5;9.9;1886
2800504008;Alcalá de Henares;36.2;26.8;7.5;2138
2800504013;Alcalá de Henares;34.4;30.4;6.4;2045
2800504017;Alcalá de Henares;29.8;23.1;1.4;3761
2800505006;Alcalá de Henares;49.0;9.4;31.0;855
2800505009;Alcalá de Henares;41.9;15.4;16.4;1296
2800505019;Alcalá de Henares;48.0;13.0;33.5;738
2800505020;Alcalá de Henares;46.2;12.1;25.0;1715
2800505027;Alcalá de Henares;45.8;12.9;25.2;775
2800505005;Alcalá de Henares;48.5;12.8;32.2;1253
2800505030;Alcalá de Henares;45.3;12.2;21.3;724
2800505010;Alcalá de Henares;46.3;13.6;28.8;767
2800505015;Alcalá de Henares;44.8;12.4;19.9;1410
2800505026;Alcalá de Henares;43.5;14.2;20.1;1546
2800505029;Alcalá de Henares;44.8;13.5;20.0;1796
2800505004;Alcalá de Henares;48.1;13.1;33.1;1273
2800505016;Alcalá de Henares;46.8;12.1;26.3;963
2800505018;Alcalá de Henares;44.3;15.2;20.9;1045
2800505021;Alcalá de Henares;43.5;14.5;19.0;1889
2800505023;Alcalá de Henares;45.4;12.6;21.8;1694
2800505031;Alcalá de Henares;42.5;15.9;14.2;768
2800505032;Alcalá de Henares;41.6;15.3;11.8;1533
2800505001;Alcalá de Henares;43.7;15.2;19.9;1236
2800505008;Alcalá de Henares;45.0;14.6;23.4;994
2800505011;Alcalá de Henares;45.3;16.3;28.0;1388
2800505013;Alcalá de Henares;47.2;14.2;27.0;1068
2800505022;Alcalá de Henares;42.3;15.2;15.6;1954
2800505002;Alcalá de Henares;46.8;13.1;28.2;1712
2800505003;Alcalá de Henares;49.4;11.3;31.3;1579
2800505014;Alcalá de Henares;42.3;15.2;16.0;2237
2800505007;Alcalá de Henares;43.7;15.6;19.1;1926
2800505012;Alcalá de Henares;43.9;15.2;21.8;1862
2800505017;Alcalá de Henares;44.7;14.0;22.7;1741
2800505028;Alcalá de Henares;44.9;12.2;20.3;1111
2800505024;Alcalá de Henares;46.4;12.4;24.6;1565
2800505025;Alcalá de Henares;44.8;13.3;23.5;1416
2800502018;Alcalá de Henares;43.6;14.6;20.6;1771
2800502019;Alcalá de Henares;43.9;16.9;21.4;2103
2800502024;Alcalá de Henares;42.0;16.7;18.6;1634
2800502026;Alcalá de Henares;44.3;14.5;23.2;1734
2800502027;Alcalá de Henares;39.6;18.1;12.0;1587
2800502029;Alcalá de Henares;40.6;18.6;9.1;1407
2800502037;Alcalá de Henares;39.7;18.5;12.4;1093
