seccion;municipio;Renta neta media por persona
2800101001;Acebeda, La;0
2800201001;Ajalvir;13581
2800201002;Ajalvir;12407
2800301001;Alameda del Valle;15419
2800401001;Álamo, El;9308
2800401002;Álamo, El;9907
2800401003;Álamo, El;9176
2800401004;Álamo, El;9841
2800501001;Alcalá de Henares;14923
2800501002;Alcalá de Henares;13649
2800501003;Alcalá de Henares;13779
2800501004;Alcalá de Henares;14204
2800501005;Alcalá de Henares;16318
2800501006;Alcalá de Henares;13845
2800501007;Alcalá de Henares;10879
2800501008;Alcalá de Henares;9866
2800501009;Alcalá de Henares;10062
2800501010;Alcalá de Henares;12157
2800501011;Alcalá de Henares;11586
2800501012;Alcalá de Henares;12030
2800501013;Alcalá de Henares;14914
2800501014;Alcalá de Henares;16395
2800501015;Alcalá de Henares;13035
2800501016;Alcalá de Henares;12209
2800501017;Alcalá de Henares;10298
2800501018;Alcalá de Henares;9328
2800501020;Alcalá de Henares;9227
2800501021;Alcalá de Henares;14804
2800501022;Alcalá de Henares;11997
2800501023;Alcalá de Henares;15690
2800501024;Alcalá de Henares;17215
2800502001;Alcalá de Henares;9691
2800502002;Alcalá de Henares;10080
2800502003;Alcalá de Henares;10627
2800502004;Alcalá de Henares;8164
2800502005;Alcalá de Henares;7938
2800502006;Alcalá de Henares;8181
2800502007;Alcalá de Henares;7774
2800502008;Alcalá de Henares;10554
2800502009;Alcalá de Henares;8260
2800502010;Alcalá de Henares;7705
2800502011;Alcalá de Henares;6082
2800502012;Alcalá de Henares;6828
2800502013;Alcalá de Henares;7471
2800502014;Alcalá de Henares;9531
2800502015;Alcalá de Henares;7718
2800502016;Alcalá de Henares;9808
2800502017;Alcalá de Henares;8255
2800502018;Alcalá de Henares;10910
2800502019;Alcalá de Henares;9651
2800502020;Alcalá de Henares;9644
2800502021;Alcalá de Henares;9302
2800502022;Alcalá de Henares;9400
2800502023;Alcalá de Henares;8223
2800502024;Alcalá de Henares;8250
2800502025;Alcalá de Henares;8954
2800502026;Alcalá de Henares;11410
2800502027;Alcalá de Henares;9226
2800502028;Alcalá de Henares;13067
2800502029;Alcalá de Henares;15315
2800502030;Alcalá de Henares;9370
2800502031;Alcalá de Henares;15520
2800502032;Alcalá de Henares;10482
2800502033;Alcalá de Henares;10786
2800502034;Alcalá de Henares;10684
2800502035;Alcalá de Henares;10803
2800502036;Alcalá de Henares;10982
2800502037;Alcalá de Henares;9907
2800503001;Alcalá de Henares;9349
2800503002;Alcalá de Henares;8875
2800503003;Alcalá de Henares;8318
2800503004;Alcalá de Henares;12155
2800503005;Alcalá de Henares;8687
2800503006;Alcalá de Henares;9646
2800503007;Alcalá de Henares;10915
2800503008;Alcalá de Henares;10447
2800503009;Alcalá de Henares;8566
2800503011;Alcalá de Henares;12717
2800503012;Alcalá de Henares;9255
2800503013;Alcalá de Henares;16776
2800503014;Alcalá de Henares;12621
2800503015;Alcalá de Henares;13364
2800503016;Alcalá de Henares;16498
2800503017;Alcalá de Henares;15979
2800504001;Alcalá de Henares;16384
2800504002;Alcalá de Henares;16844
2800504003;Alcalá de Henares;16535
2800504004;Alcalá de Henares;16250
2800504005;Alcalá de Henares;10882
2800504006;Alcalá de Henares;10621
2800504007;Alcalá de Henares;15548
2800504008;Alcalá de Henares;14657
2800504009;Alcalá de Henares;11261
2800504010;Alcalá de Henares;15266
2800504011;Alcalá de Henares;14327
2800504012;Alcalá de Henares;9189
2800504013;Alcalá de Henares;14382
2800504014;Alcalá de Henares;14268
