| Raza                           | Altura (cm) | Peso (kg) | Inteligencia (%) | Coste total (€) | Vida promedio (años) | Nº Enfermedades graves | Coste anual promedio (€) | Hogar                 | Trucos | Actividad física del dueño | Distrito                |
|--------------------------------|-------------|-----------|-------------------|------------------|-----------------------|-------------------------|--------------------------|-----------------------|--------|-----------------------------|-------------------------|
| Husky Siberiano                | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Jardín Amplio         | No     | Frecuente                    | Chamartín                |
| Husky Siberiano                | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Apartamento pequeño   | No     | Nada                        | Puente de Vallecas       |
| Husky Siberiano                | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Jardín Amplio         | Sí     | Poco frecuente               | Moncloa-Aravaca          |
| Husky Siberiano                | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Apartamento mediano   | Sí     | Muy frecuente                | Moncloa-Aravaca          |
| Husky Siberiano                | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Jardín Amplio         | No     | Nada                        | Carabanchel              |
| Husky Siberiano                | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Apartamento mediano   | Sí     | Poco frecuente               | Fuencarral-El Pardo      |
| Husky Siberiano                | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Jardín Amplio         | No     | Nada                        | Latina                  |
| Husky Siberiano                | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Jardín Amplio         | Sí     | Frecuente                    | Usera                   |
| Husky Siberiano                | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Finca                 | No     | Muy frecuente                | Villaverde              |
| Husky Siberiano                | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Jardín Amplio         | Sí     | Poco frecuente               | Puente de Vallecas       |
| Dachshund                      | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Jardín Amplio         | No     | Poco frecuente               | Fuencarral-El Pardo      |
| Dachshund                      | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Jardín Amplio         | Sí     | Nada                        | San Blas-Canillejas      |
| Dachshund                      | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Apartamento pequeño   | No     | Frecuente                    | Ciudad Lineal            |
| Dachshund                      | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Apartamento pequeño   | Sí     | Muy frecuente                | Usera                   |
| Dachshund                      | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Apartamento mediano   | Sí     | Poco frecuente               | Puente de Vallecas       |
| Dachshund                      | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Apartamento mediano   | Sí     | Frecuente                    | Moncloa-Aravaca          |
| Dachshund                      | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Jardín Amplio         | No     | Nada                        | Latina                  |
| Dachshund                      | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Jardín Amplio         | No     | Nada                        | Fuencarral-El Pardo      |
| Dachshund                      | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Jardín Amplio         | Sí     | Muy frecuente                | Chamartín                |
| Dachshund                      | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Jardín Amplio         | No     | Muy frecuente                | Latina                  |
| Schnauzer Miniatura     | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Jardín Amplio         | Sí     | Nada                        | Chamartín                |
| Schnauzer Miniatura     | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Apartamento pequeño   | No     | Frecuente                    | San Blas-Canillejas      |
| Schnauzer Miniatura     | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Jardín Amplio         | Sí     | Poco frecuente               | Carabanchel              |
| Schnauzer Miniatura     | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Apartamento mediano   | No     | Muy frecuente                | Usera                   |
| Schnauzer Miniatura     | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Jardín Amplio         | No     | Frecuente                    | Villaverde              |
| Schnauzer Miniatura     | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Apartamento mediano   | Sí     | Nada                        | Moratalaz               |
| Schnauzer Miniatura     | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Apartamento pequeño   | No     | Muy frecuente                | Ciudad Lineal            |
| Schnauzer Miniatura     | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Finca                 | Sí     | Poco frecuente               | Retiro                  |
| Schnauzer Miniatura     | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Jardín Amplio         | Sí     | Frecuente                    | Centro                  |
| Schnauzer Miniatura     | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Apartamento mediano   | No     | Nada                        | Salamanca               |
| Chihuahua | 13          | 2.5       | 17                | 19722            | 16.2                  | 2                       | 1198                     | Apartamento pequeño | No     | Frecuente                    | Chamartín              |
| Chihuahua | 13.5        | 2.2       | 15                | 19630            | 16.8                  | 1                       | 1192                     | Jardín Amplio       | Sí     | Nada                        | Puente de Vallecas     |
| Chihuahua | 13.2        | 2.1       | 16                | 19650            | 16.4                  | 2                       | 1195                     | Apartamento pequeño | No     | Poco frecuente               | Moratalaz             |
| Chihuahua | 13.3        | 2.3       | 15                | 19700            | 16.7                  | 1                       | 1190                     | Apartamento mediano | No     | Muy frecuente                | Latina                |
| Chihuahua | 12.8        | 2.4       | 17                | 19730            | 16.1                  | 2                       | 1199                     | Jardín Amplio       | Sí     | Frecuente                    | Usera                 |
| Chihuahua | 13.1        | 2.2       | 16                | 19680            | 16.5                  | 1                       | 1194                     | Finca               | Sí     | Poco frecuente               | Villa de Vallecas     |
| Chihuahua | 13.4        | 2.6       | 14                | 19740            | 16.0                  | 2                       | 1202                     | Apartamento pequeño | Sí     | Nada                        | Ciudad Lineal          |
| Chihuahua | 12.9        | 2.3       | 15                | 19690            | 16.6                  | 1                       | 1193                     | Jardín Amplio       | No     | Nada                        | Retiro                |
| Chihuahua | 13.6        | 2.7       | 14                | 19760            | 15.9                  | 2                       | 1205                     | Apartamento pequeño | Sí     | Muy frecuente                | Centro                |
| Chihuahua | 13.7        | 2.4       | 17                | 19780            | 15.8                  | 1                       | 1208                     | Jardín Amplio       | No     | Frecuente                    | Salamanca             |
| Springer Spaniel Inglés | 50          | 20        | 86                | 16389            | 12.54                 | 4                       | 1306                     | Jardín Amplio       | Sí     | Nada                        | Chamartín              |
| Springer Spaniel Inglés | 49.5        | 20.5      | 85                | 16400            | 12.53                 | 3                       | 1300                     | Apartamento mediano | No     | Frecuente                    | Puente de Vallecas     |
| Springer Spaniel Inglés | 50.2        | 19.8      | 87                | 16380            | 12.56                 | 4                       | 1305                     | Jardín Amplio       | Sí     | Poco frecuente               | Moratalaz             |
| Springer Spaniel Inglés | 50.4        | 20.2      | 86                | 16395            | 12.55                 | 3                       | 1303                     | Apartamento pequeño | No     | Muy frecuente                | Latina                |
| Springer Spaniel Inglés | 50.1        | 19.7      | 87                | 16375            | 12.57                 | 4                       | 1307                     | Jardín Amplio       | Sí     | Frecuente                    | Usera                 |
| Springer Spaniel Inglés | 50.6        | 20.8      | 85                | 16410            | 12.52                 | 3                       | 1299                     | Apartamento mediano | Sí     | Poco frecuente               | Villa de Vallecas     |
| Springer Spaniel Inglés | 50.3        | 20.4      | 86                | 16392            | 12.54                 | 4                       | 1304                     | Finca               | No     | Nada                        | Ciudad Lineal          |
| Springer Spaniel Inglés | 49.8        | 20.9      | 85                | 16368            | 12.58                 | 3                       | 1308                     | Jardín Amplio       | No     | Nada                        | Retiro                |
| Springer Spaniel Inglés | 50.9        | 19.5      | 88                | 16420            | 12.51                 | 4                       | 1298                     | Apartamento pequeño | Sí     | Muy frecuente                | Centro                |
| Springer Spaniel Inglés | 50.7        | 20.6      | 85                | 16405            | 12.53                 | 3                       | 1301                     | Jardín Amplio       | No     | Frecuente                    | Salamanca             |
| Caniche | 41          | 25        | 99                | 15898            | 11.95                 | 2                       | 1330                     | Jardín Amplio       | Sí     | Nada                        | Chamartín              |
| Caniche | 40.5        | 25.5      | 98                | 15910            | 11.94                 | 1                       | 1328                     | Apartamento mediano | No     | Frecuente                    | Puente de Vallecas     |
